event_id,hour_index,temp_c
EVT-01,0,19.23
EVT-01,1,17.438
EVT-01,2,17.473
EVT-01,3,16.301
EVT-01,4,16.507
EVT-01,5,17.886
EVT-01,6,18.012
EVT-01,7,20.183
EVT-01,8,21.555
EVT-01,9,23.617
EVT-01,10,24.839
EVT-01,11,26.446
EVT-01,12,27.967
EVT-01,13,28.527
EVT-01,14,29.156
EVT-01,15,29.848
EVT-01,16,29.426
EVT-01,17,28.629
EVT-01,18,27.73
EVT-01,19,27.061
EVT-01,20,24.686
EVT-01,21,23.0
EVT-01,22,20.831
EVT-01,23,19.937
EVT-01,24,18.946
EVT-01,25,17.627
EVT-01,26,17.319
EVT-01,27,17.009
EVT-01,28,17.382
EVT-01,29,17.977
EVT-01,30,19.239
EVT-01,31,19.884
EVT-01,32,20.981
EVT-01,33,23.452
EVT-01,34,25.173
EVT-01,35,27.049
EVT-01,36,28.274
EVT-01,37,29.568
EVT-01,38,29.684
EVT-01,39,29.748
EVT-01,40,28.882
EVT-01,41,28.913
EVT-01,42,27.54
EVT-01,43,26.506
EVT-01,44,24.883
EVT-01,45,23.375
EVT-01,46,21.473
EVT-01,47,20.325
EVT-01,48,19.001
EVT-01,49,18.378
EVT-01,50,17.999
EVT-01,51,17.323
EVT-01,52,17.925
EVT-01,53,17.965
EVT-01,54,18.927
EVT-01,55,20.477
EVT-01,56,21.825
EVT-01,57,23.187
EVT-01,58,24.969
EVT-01,59,26.291
EVT-01,60,28.287
EVT-01,61,29.108
EVT-01,62,29.606
EVT-01,63,29.744
EVT-01,64,29.952
EVT-01,65,29.416
EVT-01,66,27.623
EVT-01,67,26.22
EVT-01,68,25.557
EVT-01,69,22.95
EVT-01,70,22.045
EVT-01,71,20.912
EVT-02,0,33.516
EVT-02,1,32.824
EVT-02,2,33.014
EVT-02,3,31.034
EVT-02,4,31.928
EVT-02,5,32.88
EVT-02,6,33.086
EVT-02,7,34.603
EVT-02,8,35.124
EVT-02,9,36.3
EVT-02,10,37.245
EVT-02,11,38.178
EVT-02,12,39.055
EVT-02,13,40.063
EVT-02,14,40.072
EVT-02,15,40.909
EVT-02,16,40.643
EVT-02,17,40.394
EVT-02,18,38.822
EVT-02,19,37.708
EVT-02,20,37.354
EVT-02,21,37.407
EVT-02,22,35.646
EVT-02,23,33.886
EVT-02,24,34.062
EVT-02,25,32.544
EVT-02,26,33.211
EVT-02,27,32.451
EVT-02,28,32.627
EVT-02,29,33.101
EVT-02,30,34.229
EVT-02,31,34.356
EVT-02,32,35.007
EVT-02,33,36.927
EVT-02,34,37.088
EVT-02,35,38.817
EVT-02,36,40.299
EVT-02,37,40.736
EVT-02,38,41.349
EVT-02,39,41.326
EVT-02,40,41.896
EVT-02,41,40.269
EVT-02,42,39.983
EVT-02,43,38.762
EVT-02,44,38.288
EVT-02,45,36.773
EVT-02,46,36.377
EVT-02,47,34.445
EVT-02,48,33.72
EVT-02,49,32.79
EVT-02,50,32.592
EVT-02,51,32.334
EVT-02,52,32.518
EVT-02,53,32.72
EVT-02,54,33.202
EVT-02,55,34.235
EVT-02,56,34.728
EVT-02,57,36.846
EVT-02,58,37.123
EVT-02,59,38.562
EVT-02,60,39.795
EVT-02,61,40.552
EVT-02,62,39.934
EVT-02,63,40.753
EVT-02,64,40.827
EVT-02,65,40.237
EVT-02,66,40.073
EVT-02,67,38.321
EVT-02,68,36.797
EVT-02,69,36.833
EVT-02,70,35.187
EVT-02,71,33.666
EVT-02,72,33.61
EVT-02,73,31.932
EVT-02,74,32.945
EVT-02,75,31.529
EVT-02,76,32.045
EVT-02,77,31.95
EVT-02,78,33.135
EVT-02,79,33.951
EVT-02,80,34.441
EVT-02,81,37.275
EVT-02,82,37.054
EVT-02,83,38.087
EVT-02,84,39.558
EVT-02,85,40.577
EVT-02,86,40.729
EVT-02,87,39.944
EVT-02,88,40.364
EVT-02,89,39.098
EVT-02,90,39.531
EVT-02,91,37.63
EVT-02,92,36.931
EVT-02,93,36.143
EVT-02,94,35.215
EVT-02,95,33.9
EVT-02,96,34.259
EVT-02,97,33.547
EVT-02,98,32.37
EVT-02,99,33.396
EVT-02,100,32.541
EVT-02,101,33.984
EVT-02,102,34.779
EVT-02,103,35.061
EVT-02,104,36.301
EVT-02,105,35.763
EVT-02,106,38.026
EVT-02,107,39.577
EVT-02,108,40.392
EVT-02,109,40.215
EVT-02,110,41.013
EVT-02,111,40.262
EVT-02,112,41.295
EVT-02,113,39.949
EVT-02,114,40.475
EVT-02,115,39.609
EVT-02,116,37.914
EVT-02,117,37.205
EVT-02,118,35.801
EVT-02,119,34.953
EVT-03,0,30.511
EVT-03,1,28.948
EVT-03,2,28.458
EVT-03,3,29.001
EVT-03,4,29.106
EVT-03,5,29.713
EVT-03,6,30.002
EVT-03,7,31.874
EVT-03,8,32.182
EVT-03,9,33.282
EVT-03,10,34.34
EVT-03,11,35.661
EVT-03,12,36.347
EVT-03,13,36.951
EVT-03,14,37.483
EVT-03,15,36.6
EVT-03,16,36.474
EVT-03,17,36.744
EVT-03,18,36.038
EVT-03,19,35.491
EVT-03,20,34.269
EVT-03,21,33.422
EVT-03,22,31.62
EVT-03,23,31.115
EVT-03,24,30.163
EVT-03,25,28.599
EVT-03,26,29.076
EVT-03,27,28.208
EVT-03,28,28.784
EVT-03,29,29.709
EVT-03,30,30.1
EVT-03,31,30.208
EVT-03,32,31.596
EVT-03,33,32.335
EVT-03,34,33.33
EVT-03,35,35.053
EVT-03,36,36.088
EVT-03,37,36.698
EVT-03,38,37.176
EVT-03,39,37.071
EVT-03,40,36.826
EVT-03,41,36.092
EVT-03,42,35.687
EVT-03,43,34.477
EVT-03,44,33.669
EVT-03,45,32.972
EVT-03,46,31.817
EVT-03,47,32.092
EVT-03,48,30.204
EVT-03,49,29.027
EVT-03,50,29.028
EVT-03,51,28.903
EVT-03,52,29.521
EVT-03,53,29.417
EVT-03,54,30.178
EVT-03,55,30.94
EVT-03,56,31.55
EVT-03,57,32.921
EVT-03,58,34.1
EVT-03,59,35.281
EVT-03,60,36.333
EVT-03,61,36.673
EVT-03,62,37.08
EVT-03,63,36.633
EVT-03,64,37.397
EVT-03,65,36.489
EVT-03,66,36.408
EVT-03,67,35.778
EVT-03,68,34.178
EVT-03,69,32.772
EVT-03,70,32.104
EVT-03,71,31.251
EVT-03,72,29.713
EVT-03,73,29.506
EVT-03,74,29.066
EVT-03,75,28.587
EVT-03,76,28.205
EVT-03,77,29.463
EVT-03,78,29.631
EVT-03,79,30.882
EVT-03,80,31.855
EVT-03,81,32.11
EVT-03,82,33.97
EVT-03,83,35.142
EVT-03,84,36.048
EVT-03,85,36.498
EVT-03,86,36.074
EVT-03,87,37.517
EVT-03,88,37.029
EVT-03,89,35.97
EVT-03,90,35.478
EVT-03,91,35.028
EVT-03,92,34.209
EVT-03,93,32.671
EVT-03,94,32.125
EVT-03,95,30.079
EVT-03,96,28.816
EVT-03,97,28.625
EVT-03,98,29.174
EVT-03,99,29.253
EVT-03,100,28.664
EVT-03,101,28.729
EVT-03,102,29.553
EVT-03,103,30.689
EVT-03,104,30.873
EVT-03,105,32.34
EVT-03,106,34.215
EVT-03,107,34.221
EVT-03,108,35.197
EVT-03,109,36.16
EVT-03,110,36.682
EVT-03,111,36.459
EVT-03,112,36.599
EVT-03,113,36.398
EVT-03,114,36.281
EVT-03,115,34.589
EVT-03,116,33.624
EVT-03,117,33.18
EVT-03,118,31.278
EVT-03,119,29.97
EVT-03,120,30.27
EVT-03,121,29.326
EVT-03,122,28.729
EVT-03,123,28.048
EVT-03,124,28.745
EVT-03,125,29.675
EVT-03,126,29.346
EVT-03,127,30.599
EVT-03,128,31.54
EVT-03,129,32.488
EVT-03,130,33.938
EVT-03,131,35.014
EVT-03,132,35.868
EVT-03,133,35.962
EVT-03,134,36.108
EVT-03,135,37.012
EVT-03,136,36.564
EVT-03,137,37.088
EVT-03,138,36.448
EVT-03,139,35.633
EVT-03,140,33.462
EVT-03,141,32.995
EVT-03,142,32.044
EVT-03,143,31.0
EVT-04,0,28.154
EVT-04,1,26.38
EVT-04,2,25.638
EVT-04,3,24.701
EVT-04,4,25.845
EVT-04,5,26.276
EVT-04,6,27.828
EVT-04,7,29.381
EVT-04,8,31.274
EVT-04,9,33.238
EVT-04,10,35.626
EVT-04,11,37.147
EVT-04,12,38.289
EVT-04,13,40.36
EVT-04,14,40.602
EVT-04,15,40.667
EVT-04,16,40.517
EVT-04,17,40.246
EVT-04,18,38.832
EVT-04,19,36.373
EVT-04,20,35.158
EVT-04,21,33.724
EVT-04,22,31.021
EVT-04,23,29.22
EVT-04,24,27.903
EVT-04,25,26.731
EVT-04,26,24.42
EVT-04,27,25.952
EVT-04,28,25.784
EVT-04,29,27.307
EVT-04,30,27.271
EVT-04,31,28.523
EVT-04,32,31.147
EVT-04,33,33.089
EVT-04,34,35.515
EVT-04,35,37.599
EVT-04,36,38.778
EVT-04,37,39.979
EVT-04,38,41.077
EVT-04,39,41.036
EVT-04,40,40.732
EVT-04,41,40.49
EVT-04,42,39.317
EVT-04,43,37.602
EVT-04,44,35.187
EVT-04,45,32.343
EVT-04,46,31.085
EVT-04,47,28.926
EVT-05,0,29.165
EVT-05,1,28.799
EVT-05,2,27.998
EVT-05,3,27.767
EVT-05,4,28.903
EVT-05,5,28.419
EVT-05,6,29.433
EVT-05,7,30.631
EVT-05,8,31.565
EVT-05,9,32.537
EVT-05,10,33.36
EVT-05,11,34.479
EVT-05,12,35.555
EVT-05,13,35.801
EVT-05,14,35.29
EVT-05,15,35.948
EVT-05,16,36.304
EVT-05,17,35.381
EVT-05,18,35.653
EVT-05,19,34.164
EVT-05,20,33.273
EVT-05,21,32.669
EVT-05,22,31.126
EVT-05,23,30.32
EVT-05,24,29.267
EVT-05,25,29.407
EVT-05,26,28.065
EVT-05,27,28.405
EVT-05,28,28.985
EVT-05,29,29.073
EVT-05,30,30.26
EVT-05,31,29.859
EVT-05,32,30.764
EVT-05,33,32.767
EVT-05,34,33.825
EVT-05,35,34.352
EVT-05,36,35.405
EVT-05,37,36.17
EVT-05,38,35.94
EVT-05,39,36.117
EVT-05,40,36.341
EVT-05,41,36.233
EVT-05,42,34.779
EVT-05,43,34.35
EVT-05,44,33.381
EVT-05,45,32.627
EVT-05,46,31.436
EVT-05,47,30.271
EVT-05,48,30.045
EVT-05,49,29.518
EVT-05,50,28.604
EVT-05,51,28.821
EVT-05,52,29.447
EVT-05,53,29.763
EVT-05,54,30.501
EVT-05,55,31.297
EVT-05,56,32.862
EVT-05,57,32.748
EVT-05,58,33.419
EVT-05,59,34.597
EVT-05,60,35.551
EVT-05,61,36.069
EVT-05,62,36.89
EVT-05,63,37.488
EVT-05,64,37.468
EVT-05,65,36.661
EVT-05,66,36.689
EVT-05,67,34.874
EVT-05,68,33.413
EVT-05,69,33.468
EVT-05,70,31.292
EVT-05,71,30.775
