asset_id,event_id,failed
SUB-SGW-001,EVT-01,0
SUB-SGW-002,EVT-01,0
SUB-SGW-003,EVT-01,0
SUB-SGW-004,EVT-01,0
SUB-SGW-005,EVT-01,0
SUB-SGW-006,EVT-01,0
SUB-SGW-007,EVT-01,0
SUB-SGW-008,EVT-01,0
SUB-SGW-009,EVT-01,0
SUB-SGW-010,EVT-01,0
SUB-SGW-011,EVT-01,0
SUB-SGW-012,EVT-01,0
SUB-SGW-013,EVT-01,0
SUB-SGW-014,EVT-01,0
SUB-SGW-015,EVT-01,0
SUB-SGW-016,EVT-01,0
SUB-SGW-017,EVT-01,0
SUB-SGW-018,EVT-01,0
SUB-SGW-019,EVT-01,0
SUB-SGW-020,EVT-01,0
SUB-SGW-021,EVT-01,0
SUB-SGW-022,EVT-01,0
SUB-SGW-023,EVT-01,0
SUB-SGW-024,EVT-01,0
SUB-SGW-025,EVT-01,0
SUB-SGW-026,EVT-01,0
SUB-SGW-027,EVT-01,0
SUB-SGW-028,EVT-01,0
SUB-SGW-029,EVT-01,0
SUB-SGW-030,EVT-01,0
SUB-SGW-031,EVT-01,0
SUB-SGW-032,EVT-01,0
SUB-SGW-033,EVT-01,0
SUB-SGW-034,EVT-01,0
SUB-SGW-035,EVT-01,0
SUB-SGW-036,EVT-01,0
SUB-SGW-037,EVT-01,0
SUB-SGW-038,EVT-01,0
SUB-SGW-039,EVT-01,0
SUB-SGW-040,EVT-01,0
SUB-SGW-041,EVT-01,0
SUB-SGW-042,EVT-01,0
SUB-SGW-043,EVT-01,0
SUB-SGW-044,EVT-01,0
SUB-SGW-045,EVT-01,0
SUB-SGW-046,EVT-01,0
SUB-SGW-047,EVT-01,0
SUB-SGW-048,EVT-01,0
SUB-SGW-049,EVT-01,0
SUB-SGW-050,EVT-01,0
SUB-SGW-051,EVT-01,0
SUB-SGW-052,EVT-01,0
SUB-SGW-053,EVT-01,0
SUB-SGW-054,EVT-01,0
SUB-SGW-055,EVT-01,0
SUB-SGW-056,EVT-01,0
SUB-SGW-057,EVT-01,0
SUB-SGW-058,EVT-01,0
SUB-SGW-059,EVT-01,0
SUB-SGW-060,EVT-01,0
SUB-SGW-061,EVT-01,0
SUB-SGW-062,EVT-01,0
SUB-SGW-063,EVT-01,0
SUB-SGW-064,EVT-01,0
SUB-SGW-065,EVT-01,0
SUB-SGW-066,EVT-01,0
SUB-SGW-067,EVT-01,0
SUB-SGW-068,EVT-01,0
SUB-SGW-069,EVT-01,0
SUB-SGW-070,EVT-01,0
SUB-SGW-071,EVT-01,0
SUB-SGW-072,EVT-01,0
SUB-SGW-073,EVT-01,0
SUB-SGW-074,EVT-01,0
SUB-SGW-075,EVT-01,0
SUB-SGW-076,EVT-01,0
SUB-SGW-077,EVT-01,0
SUB-SGW-078,EVT-01,0
SUB-SGW-079,EVT-01,0
SUB-SGW-080,EVT-01,0
SUB-SGW-081,EVT-01,0
SUB-SGW-082,EVT-01,0
SUB-SGW-083,EVT-01,0
SUB-SGW-084,EVT-01,0
SUB-SGW-085,EVT-01,0
SUB-SGW-086,EVT-01,0
SUB-SGW-087,EVT-01,0
SUB-SGW-088,EVT-01,0
SUB-SGW-089,EVT-01,0
SUB-SGW-090,EVT-01,0
SUB-SGW-091,EVT-01,0
SUB-SGW-092,EVT-01,0
SUB-SGW-093,EVT-01,0
SUB-SGW-094,EVT-01,0
SUB-SGW-095,EVT-01,0
SUB-SGW-096,EVT-01,0
SUB-SGW-097,EVT-01,0
SUB-SGW-098,EVT-01,0
SUB-SGW-099,EVT-01,0
SUB-SGW-100,EVT-01,0
SUB-SGW-101,EVT-01,0
SUB-SGW-102,EVT-01,0
SUB-SGW-103,EVT-01,0
SUB-SGW-104,EVT-01,0
SUB-SGW-105,EVT-01,0
SUB-SGW-106,EVT-01,0
SUB-SGW-107,EVT-01,0
SUB-SGW-108,EVT-01,0
SUB-SGW-109,EVT-01,0
SUB-SGW-110,EVT-01,0
SUB-SGW-111,EVT-01,0
SUB-SGW-112,EVT-01,0
SUB-SGW-113,EVT-01,0
SUB-SGW-114,EVT-01,0
SUB-SGW-115,EVT-01,0
SUB-SGW-116,EVT-01,0
SUB-SGW-117,EVT-01,0
SUB-SGW-118,EVT-01,0
SUB-SGW-119,EVT-01,0
SUB-SGW-120,EVT-01,0
SUB-SGW-121,EVT-01,0
SUB-SGW-122,EVT-01,0
SUB-SGW-123,EVT-01,0
SUB-SGW-124,EVT-01,0
SUB-SGW-125,EVT-01,0
SUB-SGW-126,EVT-01,0
SUB-SGW-127,EVT-01,0
SUB-SGW-128,EVT-01,0
SUB-SGW-129,EVT-01,0
SUB-SGW-130,EVT-01,0
SUB-SGW-131,EVT-01,0
SUB-SGW-132,EVT-01,0
SUB-SGW-133,EVT-01,0
SUB-SGW-134,EVT-01,0
SUB-SGW-135,EVT-01,0
SUB-SGW-136,EVT-01,0
SUB-SGW-137,EVT-01,0
SUB-SGW-138,EVT-01,0
SUB-SGW-139,EVT-01,0
SUB-SGW-140,EVT-01,0
SUB-SGW-141,EVT-01,0
SUB-SGW-142,EVT-01,0
SUB-SGW-143,EVT-01,0
SUB-SGW-144,EVT-01,0
SUB-SGW-145,EVT-01,0
SUB-SGW-146,EVT-01,0
SUB-SGW-147,EVT-01,0
SUB-SGW-148,EVT-01,0
SUB-SGW-149,EVT-01,0
SUB-SGW-150,EVT-01,0
SUB-SGW-151,EVT-01,0
SUB-SGW-152,EVT-01,0
SUB-SGW-153,EVT-01,0
SUB-SGW-154,EVT-01,0
SUB-SGW-155,EVT-01,0
SUB-SGW-156,EVT-01,0
SUB-SGW-157,EVT-01,0
SUB-SGW-158,EVT-01,0
SUB-SGW-159,EVT-01,0
SUB-SGW-160,EVT-01,0
SUB-SGW-161,EVT-01,0
SUB-SGW-162,EVT-01,0
SUB-SGW-163,EVT-01,0
SUB-SGW-164,EVT-01,0
SUB-SGW-165,EVT-01,0
SUB-SGW-166,EVT-01,0
SUB-SGW-167,EVT-01,0
SUB-SGW-168,EVT-01,0
SUB-SGW-169,EVT-01,0
SUB-SGW-170,EVT-01,0
SUB-SGW-171,EVT-01,0
SUB-SGW-172,EVT-01,0
SUB-SGW-173,EVT-01,0
SUB-SGW-174,EVT-01,0
SUB-SGW-175,EVT-01,0
SUB-SGW-176,EVT-01,0
SUB-SGW-177,EVT-01,0
SUB-SGW-178,EVT-01,0
SUB-SGW-179,EVT-01,0
SUB-SGW-180,EVT-01,0
SUB-SGW-181,EVT-01,0
SUB-SGW-182,EVT-01,0
SUB-SGW-183,EVT-01,0
SUB-SGW-184,EVT-01,0
SUB-SGW-185,EVT-01,0
SUB-SGW-186,EVT-01,0
SUB-SGW-187,EVT-01,0
SUB-SGW-188,EVT-01,0
SUB-SGW-189,EVT-01,0
SUB-SGW-190,EVT-01,0
SUB-SGW-191,EVT-01,0
SUB-SGW-192,EVT-01,0
SUB-SGW-193,EVT-01,0
SUB-SGW-194,EVT-01,0
SUB-SGW-195,EVT-01,0
SUB-SGW-196,EVT-01,0
SUB-SGW-197,EVT-01,0
SUB-SGW-198,EVT-01,0
SUB-SGW-199,EVT-01,0
SUB-SGW-200,EVT-01,0
SUB-SGW-201,EVT-01,0
SUB-SGW-202,EVT-01,0
SUB-SGW-203,EVT-01,0
SUB-SGW-204,EVT-01,0
SUB-SGW-205,EVT-01,0
SUB-SGW-206,EVT-01,0
SUB-SGW-207,EVT-01,0
SUB-SGW-208,EVT-01,0
SUB-SGW-209,EVT-01,0
SUB-SGW-210,EVT-01,0
SUB-SGW-211,EVT-01,0
SUB-SGW-212,EVT-01,0
SUB-SGW-213,EVT-01,0
SUB-SGW-214,EVT-01,0
SUB-SGW-215,EVT-01,0
SUB-SGW-216,EVT-01,0
SUB-SGW-217,EVT-01,0
SUB-SGW-218,EVT-01,0
SUB-SGW-219,EVT-01,0
SUB-SGW-220,EVT-01,0
SUB-SGW-221,EVT-01,0
SUB-SGW-222,EVT-01,0
SUB-SGW-223,EVT-01,0
SUB-SGW-224,EVT-01,0
SUB-SGW-225,EVT-01,0
SUB-SGW-226,EVT-01,0
SUB-SGW-227,EVT-01,0
SUB-SGW-228,EVT-01,0
SUB-SGW-229,EVT-01,0
SUB-SGW-230,EVT-01,0
SUB-SGW-231,EVT-01,0
SUB-SGW-232,EVT-01,0
SUB-SGW-233,EVT-01,0
